cu-75%sn.500rpm-1-1451-1_1.ras,,,
X,Y,,
8.52,2610,,
8.53,2530,,
8.54,2570,,
8.55,2570,,
8.56,2570,,
8.57,2640,,
8.58,2630,,
8.59,2530,,
8.6,2510,,
8.61,2600,,
8.62,2660,,
8.63,2620,,
8.64,2560,,
8.65,2510,,
8.66,2540,,
8.67,2640,,
8.68,2640,,
8.69,2510,,
8.7,2480,,
8.71,2560,,
8.72,2610,,
8.73,2650,,
8.74,2600,,
8.75,2440,,
8.76,2350,,
8.77,2420,,
8.78,2540,,
8.79,2580,,
8.8,2620,,
8.81,2570,,
8.82,2580,,
8.83,2700,,
8.84,2680,,
8.85,2580,,
8.86,2640,,
8.87,2730,,
8.88,2730,,
8.89,2670,,
8.9,2570,,
8.91,2480,,
8.92,2540,,
8.93,2590,,
8.94,2560,,
8.95,2510,,
8.96,2520,,
8.97,2590,,
8.98,2540,,
8.99,2510,,
9,2560,,
9.01,2480,,
9.02,2410,,
9.03,2460,,
9.04,2500,,
9.05,2510,,
9.06,2620,,
9.07,2750,,
9.08,2740,,
9.09,2660,,
9.1,2640,,
9.11,2590,,
9.12,2570,,
9.13,2650,,
9.14,2640,,
9.15,2550,,
9.16,2730,,
9.17,2710,,
9.18,2630,,
9.19,2600,,
9.2,2490,,
9.21,2450,,
9.22,2480,,
9.23,2590,,
9.24,2640,,
9.25,2610,,
9.26,2600,,
9.27,2600,,
9.28,2700,,
9.29,2640,,
9.3,2460,,
9.31,2450,,
9.32,2550,,
9.33,2640,,
9.34,2630,,
9.35,2600,,
9.36,2650,,
9.37,2630,,
9.38,2640,,
9.39,2720,,
9.4,2740,,
9.41,2700,,
9.42,2790,,
9.43,2820,,
9.44,2720,,
9.45,2640,,
9.46,2620,,
9.47,2560,,
9.48,2580,,
9.49,2630,,
9.5,2480,,
9.51,2410,,
9.52,2540,,
9.53,2720,,
9.54,2770,,
9.55,2740,,
9.56,2700,,
9.57,2690,,
9.58,2490,,
9.59,2560,,
9.6,2740,,
9.61,2690,,
9.62,2640,,
9.63,2740,,
9.64,2760,,
9.65,2730,,
9.66,2700,,
9.67,2750,,
9.68,2740,,
9.69,2830,,
9.7,2880,,
9.71,2890,,
9.72,2950,,
9.73,2790,,
9.74,2730,,
9.75,2740,,
9.76,2670,,
9.77,2620,,
9.78,2640,,
9.79,2720,,
9.8,2760,,
9.81,2640,,
9.82,2550,,
9.83,2590,,
9.84,2730,,
9.85,2810,,
9.86,2820,,
9.87,2860,,
9.88,2940,,
9.89,2950,,
9.9,2890,,
9.91,2890,,
9.92,2760,,
9.93,2700,,
9.94,2640,,
9.95,2710,,
9.96,2740,,
9.97,2770,,
9.98,2590,,
9.99,2650,,
10,2660,,
10.01,2730,,
10.02,2730,,
10.03,2610,,
10.04,2640,,
10.05,2770,,
10.06,2770,,
10.07,2650,,
10.08,2660,,
10.09,2740,,
10.1,2820,,
10.11,2900,,
10.12,2970,,
10.13,2850,,
10.14,2680,,
10.15,2730,,
10.16,2740,,
10.17,2680,,
10.18,2670,,
10.19,2790,,
10.2,2970,,
10.21,3020,,
10.22,2980,,
10.23,2850,,
10.24,2730,,
10.25,2680,,
10.26,2640,,
10.27,2700,,
10.28,2800,,
10.29,2770,,
10.3,2750,,
10.31,2850,,
10.32,2930,,
10.33,2850,,
10.34,2630,,
10.35,2700,,
10.36,3020,,
10.37,3110,,
10.38,2990,,
10.39,2740,,
10.4,2560,,
10.41,2680,,
10.42,2860,,
10.43,2820,,
10.44,2660,,
10.45,2750,,
10.46,2870,,
10.47,2890,,
10.48,2880,,
10.49,2890,,
10.5,2840,,
10.51,2850,,
10.52,3010,,
10.53,3100,,
10.54,2990,,
10.55,2870,,
10.56,2860,,
10.57,2930,,
10.58,3010,,
10.59,2960,,
10.6,3090,,
10.61,3010,,
10.62,2920,,
10.63,2920,,
10.64,2830,,
10.65,2750,,
10.66,2740,,
10.67,2680,,
10.68,2680,,
10.69,2690,,
10.7,2810,,
10.71,2800,,
10.72,2810,,
10.73,2820,,
10.74,2870,,
10.75,2900,,
10.76,2760,,
10.77,2740,,
10.78,2920,,
10.79,2870,,
10.8,2820,,
10.81,2740,,
10.82,2700,,
10.83,2860,,
10.84,2950,,
10.85,3030,,
10.86,3010,,
10.87,2930,,
10.88,2830,,
10.89,2810,,
10.9,2940,,
10.91,2830,,
10.92,2790,,
10.93,2880,,
10.94,2980,,
10.95,2870,,
10.96,2760,,
10.97,2930,,
10.98,2970,,
10.99,2910,,
11,2790,,
11.01,2930,,
11.02,2980,,
11.03,2900,,
11.04,2810,,
11.05,2800,,
11.06,2710,,
11.07,2690,,
11.08,2720,,
11.09,2850,,
11.1,2940,,
11.11,2970,,
11.12,2940,,
11.13,2940,,
11.14,2930,,
11.15,2950,,
11.16,3020,,
11.17,3050,,
11.18,3100,,
11.19,3030,,
11.2,2960,,
11.21,2910,,
11.22,2700,,
11.23,2710,,
11.24,2690,,
11.25,2940,,
11.26,3080,,
11.27,2910,,
11.28,2660,,
11.29,2700,,
11.3,2820,,
11.31,2950,,
11.32,2950,,
11.33,2910,,
11.34,3030,,
11.35,3130,,
11.36,2890,,
11.37,2830,,
11.38,2850,,
11.39,2810,,
11.4,2840,,
11.41,2920,,
11.42,2970,,
11.43,2950,,
11.44,3000,,
11.45,2990,,
11.46,2840,,
11.47,2800,,
11.48,2930,,
11.49,2850,,
11.5,2960,,
11.51,3020,,
11.52,2960,,
11.53,3070,,
11.54,3000,,
11.55,2950,,
11.56,2860,,
11.57,2910,,
11.58,3020,,
11.59,3080,,
11.6,3030,,
11.61,2970,,
11.62,2880,,
11.63,3050,,
11.64,2850,,
11.65,2770,,
11.66,2640,,
11.67,2860,,
11.68,3040,,
11.69,3100,,
11.7,3110,,
11.71,3040,,
11.72,2800,,
11.73,2880,,
11.74,2890,,
11.75,2860,,
11.76,2950,,
11.77,2980,,
11.78,2950,,
11.79,3070,,
11.8,2970,,
11.81,3030,,
11.82,3060,,
11.83,3020,,
11.84,3060,,
11.85,2950,,
11.86,3160,,
11.87,2970,,
11.88,2930,,
11.89,3130,,
11.9,3030,,
11.91,3050,,
11.92,3010,,
11.93,2950,,
11.94,3080,,
11.95,3150,,
11.96,2980,,
11.97,2910,,
11.98,3060,,
11.99,2980,,
12,2950,,
12.01,2980,,
12.02,2970,,
12.03,3240,,
12.04,2990,,
12.05,2880,,
12.06,3120,,
12.07,3070,,
12.08,2810,,
12.09,2790,,
12.1,2860,,
12.11,3100,,
12.12,2910,,
12.13,2750,,
12.14,2960,,
12.15,2930,,
12.16,2950,,
12.17,2950,,
12.18,2900,,
12.19,2980,,
12.2,2840,,
12.21,2900,,
12.22,2910,,
12.23,3000,,
12.24,2980,,
12.25,3010,,
12.26,2850,,
12.27,3040,,
12.28,2860,,
12.29,2920,,
12.3,3080,,
12.31,2970,,
12.32,3160,,
12.33,3240,,
12.34,3170,,
12.35,3080,,
12.36,3010,,
12.37,3040,,
12.38,3080,,
12.39,3130,,
12.4,3040,,
12.41,2940,,
12.42,2970,,
12.43,3020,,
12.44,3040,,
12.45,2930,,
12.46,3000,,
12.47,3110,,
12.48,3040,,
12.49,3040,,
12.5,3080,,
12.51,3090,,
12.52,3100,,
12.53,3020,,
12.54,2880,,
12.55,2840,,
12.56,2990,,
12.57,3040,,
12.58,2930,,
12.59,2950,,
12.6,3050,,
12.61,3100,,
12.62,3120,,
12.63,3240,,
12.64,3270,,
12.65,3110,,
12.66,3020,,
12.67,3240,,
12.68,3090,,
12.69,3290,,
12.7,3080,,
12.71,3130,,
12.72,3240,,
12.73,3050,,
12.74,3160,,
12.75,3050,,
12.76,3090,,
12.77,3150,,
12.78,3190,,
12.79,2930,,
12.8,2920,,
12.81,2940,,
12.82,3090,,
12.83,3150,,
12.84,3000,,
12.85,3160,,
12.86,3340,,
12.87,3340,,
12.88,3140,,
12.89,3070,,
12.9,2960,,
12.91,2840,,
12.92,3050,,
12.93,3190,,
12.94,3090,,
12.95,3160,,
12.96,3010,,
12.97,3100,,
12.98,3250,,
12.99,3070,,
13,2990,,
13.01,2790,,
13.02,2880,,
13.03,3080,,
13.04,3060,,
13.05,3080,,
13.06,3070,,
13.07,2950,,
13.08,3060,,
13.09,3240,,
13.1,3210,,
13.11,3160,,
13.12,3190,,
13.13,3070,,
13.14,2980,,
13.15,3090,,
13.16,3090,,
13.17,2930,,
13.18,3190,,
